,Ha,pHa,La,lot_shape__A,lot_shape_symm_A,lot_shape_L_A,lot_shape_R_A,LotNumA,Hb,pHb,Lb,lot_shape__B,lot_shape_symm_B,lot_shape_L_B,lot_shape_R_B,LotNumB,Amb,Corr,diffEV,diffSDs,diffMins,diffMaxs,diffUV,RatioMin,SignMax,pBbet_Unbiased1,pBbet_UnbiasedFB,pBbet_Uniform,pBbet_Sign1,pBbet_SignFB,Dom,diffBEV0,diffBEVfb,diffSignEV,Block,Feedback,GameID,Rate,LotShapeB,LotShapeA,BEAST_pred,Cogprior_pred,Rational_pred,DiffCogpriorHuman,DiffHumanBEAST,DiffCogpriorBEAST,DiffCogpriorRational,choices_cog_prior_pred,nn_diff
0,3.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,4.0,0.8,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.20000000000000018,1.5999999999999999,-3.0,1.0,-1.0,0.0,1.0,0.6020000000000001,0.5948,0.013600000000000001,-0.2007,-0.2066,0.0,0.20000000000000018,0.20000000000000018,-0.7999999999999998,1,0,1,0.4224,0,0,0.4470400000000167,0.46212572,1.0,0.039725718593597414,-0.024640000000016704,0.01508571859358071,-0.5378742814064026,0.50920314,0.047077417
1,3.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,4.0,0.8,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.20000000000000018,1.5999999999999999,-3.0,1.0,-1.0,0.0,1.0,0.6020000000000001,0.5948,0.013600000000000001,-0.2007,-0.2066,0.0,0.20000000000000018,0.20000000000000018,-0.7999999999999998,2,1,1,0.5712,0,0,0.4963600000000143,0.52818036,1.0,-0.04301963920593266,0.07483999999998575,0.03182036079405309,-0.4718196392059326,0.5214984,-0.0066819787
2,3.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,4.0,0.8,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.20000000000000018,1.5999999999999999,-3.0,1.0,-1.0,0.0,1.0,0.6020000000000001,0.5948,0.013600000000000001,-0.2007,-0.2066,0.0,0.20000000000000018,0.20000000000000018,-0.7999999999999998,3,1,1,0.568,0,0,0.508360000000014,0.5421339,1.0,-0.02586607265472407,0.059639999999985926,0.033773927345261856,-0.4578660726547241,0.49377716,-0.04835677
3,3.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,4.0,0.8,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.20000000000000018,1.5999999999999999,-3.0,1.0,-1.0,0.0,1.0,0.6020000000000001,0.5948,0.013600000000000001,-0.2007,-0.2066,0.0,0.20000000000000018,0.20000000000000018,-0.7999999999999998,4,1,1,0.5952,0,0,0.5192800000000165,0.5539073,1.0,-0.041292724800109815,0.07591999999998345,0.03462727519987363,-0.44609272480010986,0.47032714,-0.08358014
4,3.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,4.0,0.8,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.20000000000000018,1.5999999999999999,-3.0,1.0,-1.0,0.0,1.0,0.6020000000000001,0.5948,0.013600000000000001,-0.2007,-0.2066,0.0,0.20000000000000018,0.20000000000000018,-0.7999999999999998,5,1,1,0.6496,0,0,0.5232800000000138,0.5748437,1.0,-0.07475629529952998,0.1263199999999861,0.051563704700456126,-0.42515629529953003,0.43993494,-0.13490877
5,3.0,0.25,0.0,1.0,0.0,0.0,0.0,1.0,4.0,0.2,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.050000000000000044,0.3009618943233421,0.0,1.0,0.5,1.0,1.0,0.1393,-0.008300000000000002,0.5009,-0.0467,-0.0562,0.0,0.050000000000000044,0.050000000000000044,-0.19999999999999996,1,0,2,0.6128,0,0,0.5520800000000166,0.61755866,1.0,0.004758658123016346,0.060719999999983454,0.0654786581229998,-0.38244134187698364,0.53650844,-0.08105022
6,3.0,0.25,0.0,1.0,0.0,0.0,0.0,1.0,4.0,0.2,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.050000000000000044,0.3009618943233421,0.0,1.0,0.5,1.0,1.0,0.1393,-0.008300000000000002,0.5009,-0.0467,-0.0562,0.0,0.050000000000000044,0.050000000000000044,-0.19999999999999996,2,1,2,0.616,0,0,0.5250000000000135,0.6346977,1.0,0.018697675704956063,0.09099999999998654,0.1096976757049426,-0.36530232429504395,0.6049807,-0.029716969
7,3.0,0.25,0.0,1.0,0.0,0.0,0.0,1.0,4.0,0.2,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.050000000000000044,0.3009618943233421,0.0,1.0,0.5,1.0,1.0,0.1393,-0.008300000000000002,0.5009,-0.0467,-0.0562,0.0,0.050000000000000044,0.050000000000000044,-0.19999999999999996,3,1,2,0.6208,0,0,0.5225600000000143,0.6285917,1.0,0.007791716289520245,0.09823999999998567,0.10603171628950592,-0.37140828371047974,0.6163557,-0.012235999
8,3.0,0.25,0.0,1.0,0.0,0.0,0.0,1.0,4.0,0.2,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.050000000000000044,0.3009618943233421,0.0,1.0,0.5,1.0,1.0,0.1393,-0.008300000000000002,0.5009,-0.0467,-0.0562,0.0,0.050000000000000044,0.050000000000000044,-0.19999999999999996,4,1,2,0.6384,0,0,0.5264400000000158,0.610815,1.0,-0.027585011386871305,0.11195999999998418,0.08437498861311288,-0.38918501138687134,0.55857927,-0.052235723
9,3.0,0.25,0.0,1.0,0.0,0.0,0.0,1.0,4.0,0.2,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.050000000000000044,0.3009618943233421,0.0,1.0,0.5,1.0,1.0,0.1393,-0.008300000000000002,0.5009,-0.0467,-0.0562,0.0,0.050000000000000044,0.050000000000000044,-0.19999999999999996,5,1,2,0.616,0,0,0.5256000000000149,0.6088215,1.0,-0.007178488731384269,0.09039999999998505,0.08322151126860078,-0.3911784887313843,0.53434116,-0.074480355
10,-1.0,1.0,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.5,-2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-1.0,1.0,0.0,0.5,0.0,-0.002799999999999969,-0.005400000000000016,0.021600000000000008,0.5044,0.5057,0.0,0.0,0.0,1.0,1,0,3,0.5792,0,0,0.528040000000017,0.51087976,0.5,-0.06832024497985845,0.051159999999983,-0.01716024497987545,0.010879755020141602,0.48875615,-0.022123605
11,-1.0,1.0,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.5,-2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-1.0,1.0,0.0,0.5,0.0,-0.002799999999999969,-0.005400000000000016,0.021600000000000008,0.5044,0.5057,0.0,0.0,0.0,1.0,2,1,3,0.6032,0,0,0.5183600000000158,0.51155555,0.5,-0.09164444751739498,0.08483999999998415,-0.006804447517410828,0.01155555248260498,0.50370175,-0.007853806
12,-1.0,1.0,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.5,-2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-1.0,1.0,0.0,0.5,0.0,-0.002799999999999969,-0.005400000000000016,0.021600000000000008,0.5044,0.5057,0.0,0.0,0.0,1.0,3,1,3,0.5984,0,0,0.5158000000000165,0.5067942,0.5,-0.09160578575134282,0.08259999999998358,-0.009005785751359241,0.0067942142486572266,0.45435163,-0.05244258
13,-1.0,1.0,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.5,-2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-1.0,1.0,0.0,0.5,0.0,-0.002799999999999969,-0.005400000000000016,0.021600000000000008,0.5044,0.5057,0.0,0.0,0.0,1.0,4,1,3,0.5776,0,0,0.5047200000000166,0.5126311,0.5,-0.0649688817024231,0.0728799999999834,0.007911118297560304,0.012631118297576904,0.44814852,-0.0644826
14,-1.0,1.0,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.5,-2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-1.0,1.0,0.0,0.5,0.0,-0.002799999999999969,-0.005400000000000016,0.021600000000000008,0.5044,0.5057,0.0,0.0,0.0,1.0,5,1,3,0.5632,0,0,0.5077200000000165,0.5176991,0.5,-0.04550087757110599,0.05547999999998354,0.009979122428877552,0.017699122428894043,0.4160365,-0.101662636
